unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,NCI60.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,LINCS_HMS.cellid,,SU2C.cellid,PGP.cellid,COSMIC.tissueid,Comment
DMS 454,,DMS 454,,,,DMS 454,,,DMS_454,,,,,,,lung,
DMS-114,DMS-114,DMS 114,DMS114,,,,,DMS-114,DMS_114,,,DMS 114,,,,lung,
DMS-153,DMS-153,DMS 153,DMS153,,,,,,DMS_153,,,DMS 153,,,,lung,
DMS-273,DMS-273,DMS 273,DMS273,,,DMS 273,DMS273,DMS-273,DMS_273,,,,,,,lung,
DMS-53,DMS-53,DMS 53,DMS53,,,DMS 53,,DMS-53,DMS_53,,,,,,,lung,
DMS-79,DMS-79,DMS 79,DMS79,,,DMS 79,,DMS-79,DMS_79,,,,,,,lung,
DOHH-2,DOHH-2,DOHH-2,DOHH2,,,DOHH-2,,DOHH-2,DOHH-2,,,,,,,haematopoietic_and_lymphoid_tissue,
DoTc2-4510,DoTc2-4510,,DOTC24510,,,,,DoTc2-4510,,,,DoTc2 4510,,,,cervix,
DU-145,DU-145,DU 145,DU145,PR:DU_145,,DU 145,,DU-145,DU_145,,,,,,,prostate,
DU-4475,DU-4475,DU4475,DU4475,,,DU4475,,DU-4475,DU4475,,du4475,,,,,breast,
DV-90,DV-90,DV-90,,,,DV-90,DV90,,DV-90,,,DV-90,,,,lung,
EB-3,EB-3,,EB3,,,EB-3,,EB-3,,,,,,,,haematopoietic_and_lymphoid_tissue,
EBC-1,,EBC-1,,,,EBC-1,EBC1,EBC-1,EBC-1,,,,,,,lung,
EFM-19,EFM-19,EFM-19,EFM19,,EFM19,EFM-19,,EFM-19,EFM-19,,efm19,,,,EFM19,breast,
EFM-192A,,EFM-192A,,,EFM192A,EFM-192A,,EFM-192A,EFM-192A,,efm192a,,,,,breast,
EFM-192B,,,,,EFM192B,EFM-192B,,,,,,,,,,breast,
EFM-192C,,,,,EFM192C,EFM-192C,,,,,,,,,,breast,
EFO-21,EFO-21,EFO-21,,,,,EFO21,EFO-21,EFO-21,,,,,,,ovary,
EFO-27,EFO-27,EFO-27,,,,EFO-27,EFO27,EFO-27,EFO-27,,,EFO-27,,,,ovary,
EKVX,EKVX,,EKVX,LC:EKVX,,EKVX,,EKVX,EKVX,,,,,,EKVX,lung,
EM-2,EM-2,EM-2,EM2,,,,,EM-2,EM-2,,,,,,,haematopoietic_and_lymphoid_tissue,
EoL-1-cell,EoL-1-cell,EOL-1,,,,,,EoL-1-cell,EOL-1,,,EoL-1-cell,,,,haematopoietic_and_lymphoid_tissue,
EPLC-272H,EPLC-272H,EPLC-272H,,,,EPLC-272H,EPLC272H,EPLC-272H,EPLC-272H,,,,,,,lung,
ES-2,,ES-2,ES2,,,ES-2,,ES-2,ES-2,,,,,,,ovary,
EVSA-T,EVSA-T,EVSA-T,,,EVSAT,EVSA-T,,EVSA-T,,,evsat,,,,,breast,
FADU,FADU,FaDu,FADU,,,FaDu,,FADU,FaDu,,,,,,,upper_aerodigestive_tract,
"G-292, clone A141B1",,"G-292, clone A141B1",,,,,,G-292-Clone-A141B1,"G-292,_clone_A141B1",G-292_Clone_A141B1,,G-292 Clone A141B1,,,,bone,
G-361,G-361,G-361,,,,G-361,G361,G-361,G-361,,,,,,,skin,
G-401,G-401,G-401,G401,,,,G401,G-401,G-401,,,,,,,soft_tissue,
G-402,G-402,G-402,G402,,,G-402,,G-402,G-402,,,,,,,soft_tissue,
GA-10,,GA-10,GA10,,,GA-10,,GA-10,GA-10,,,,,,,haematopoietic_and_lymphoid_tissue,ATCC:B lymphocyte (Burkitt's lymphoma)
GA-10 (Clone 20),GA-10-Clone-20,,,,,,,,,,,GA-10 (Clone 20),,,,haematopoietic_and_lymphoid_tissue,
GDM-1,GDM-1,GDM-1,GDM1,,,,GDM1,GDM-1,GDM-1,,,,,,,haematopoietic_and_lymphoid_tissue,
Gp2D,Gp2D,GP2d,,,,GP2d,GP2D,,GP2d,,,,,,,large_intestine,
HBL-100,,,,,HBL100,HBL-100,,,,,hbl100,,,,,breast,
HCC-1171,,HCC-1171,,,,HCC1171,,,HCC-1171,,,,,,,lung,
HCC-1195,,HCC-1195,,,,,HCC1195,,HCC-1195,,,,,,,lung,
HCC-1359,,HCC-1359,,,,HCC1359,HCC1359,,HCC-1359,,,,,,,lung,
HCC-15,,HCC-15,,,,HCC-15,HCC15,HCC-15,HCC-15,,,HCC-15,,,,lung,
HCC-1833,,HCC-1833,,,,,HCC1833,,HCC-1833,,,,,,,lung,
HCC-2108,,HCC-2108,,,,,HCC2108,,HCC-2108,,,,,,,lung,
HCC-2279,,HCC-2279,,,,HCC2279,,,HCC-2279,,,,,,,lung,
HCC-33,,HCC-33,,,,HCC33,HCC33,,HCC-33,,,,,,,lung,
HCC-366,,HCC-366,,,,HCC366,,HCC-366,HCC-366,,,,,,,lung,
HCC-44,,HCC-44,,,,HCC44,HCC44,HCC-44,HCC-44,,,,,,,lung,
HCC-78,,HCC-78,,,,HCC78,HCC78,HCC-78,HCC-78,,,,,,,lung,
HCC1008,,,,,HCC1008,,,,,,hcc1008,,,,,breast,
HCC1143,HCC1143,HCC1143,HCC1143,,HCC1143,HCC1143,,HCC1143,HCC1143,,hcc1143,,,,HCC1143,breast,
HCC1187,HCC1187,HCC1187,,,HCC1187,HCC1187,,HCC1187,HCC1187,,hcc1187,,,,HCC1187,breast,
HCC1395,HCC1395,HCC1395,HCC1395,,HCC1395,HCC1395,,HCC1395,HCC1395,,hcc1395,,,,HCC1395,breast,
HCC1419,HCC1419,HCC1419,,,HCC1419,HCC1419,,HCC1419,HCC1419,,hcc1419,,,,HCC1419,breast,
HCC1428,,HCC1428,,,HCC1428,HCC1428,,HCC1428,HCC1428,,hcc1428,,,,,breast,
HCC1500,,HCC1500,,,,HCC1500,,HCC1500,HCC1500,HCC1500,hcc1500,,,,,breast,
HCC1569,HCC1569,HCC1569,,,HCC1569,HCC1569,,HCC1569,HCC1569,HCC1569,hcc1569,,,,,breast,
HCC1599,HCC1599,HCC1599,HCC1599,,HCC1599,HCC1599,,HCC1599,HCC1599,,hcc1599,,,,,breast,
HCC1806,HCC1806,HCC1806,,,HCC1806,HCC1806,,HCC1806,HCC1806,,hcc1806,,,,HCC1806,breast,
HCC1937,HCC1937,HCC1937,HCC1937,,HCC1937,HCC1937,,HCC1937,HCC1937,HCC1937,hcc1937,,,,,breast,
HCC1954,HCC1954,HCC1954,HCC1954,,HCC1954,HCC1954,,HCC1954,HCC1954,,hcc1954,,,,,breast,
HCC202,,HCC202,,,HCC202,HCC202,,HCC202,HCC202,HCC202,hcc202,,,,,breast,
HCC2185,,,,,HCC2185,,,,,,hcc2185,,,,,breast,
HCC2218,HCC2218,HCC2218,HCC2218,,HCC2218,HCC2218,,HCC2218,HCC2218,,hcc2218,,,,HCC2218,breast,
HCC2688,,,,,,HCC2688,,,,,hcc2688,,,,,breast,
HCC2998,HCC2998,,HCC2998,CO:HCC_2998,,,,HCC2998,,,,,,,HCC2998,large_intestine,
HCC3153,,,,,HCC3153,,,,,,hcc3153,,,,,breast,
HCC38,HCC38,HCC38,HCC38,,HCC38,HCC38,,HCC38,HCC38,,hcc38,,,,HCC38,breast,
HCC70,HCC70,HCC70,HCC70,,HCC70,HCC70,,HCC70,HCC70,HCC70,hcc70,,,,HCC70,breast,
